,Name,Image_x,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image_y,Updated Date,Tier
356,Eloise,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7d/Eloise_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721184250,Female,Snooty,Elephant,December 8th (Sagittarius),Sagittarius,"""tooooot""","Green Bar Shirt (AF)Yellow-Bar Tee (WW, CF, NL, PC)",A nod to all things green,Memorizing Stuff,Painter,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,K.K. Jazz,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",296,47,https://www.animalcrossingportal.com/images/villagers/icons/eloise.png,1st May 2020,Tier 6
92,Flip,https://vignette.wikia.nocookie.net/animalcrossing/images/6/66/Flip_HD.png/revision/latest/scale-to-width-down/350?cb=20181009152037,Male,Jock,Monkey,November 21st (Scorpio),Scorpio,"""rerack""",Happi Tee,An ancient bathhouse,Climbing Trees,Pro Golfer,"Kilimanjaro,Just a little bit of milk, One spoonful of sugar",Sporty,K.K. Rally,"NL, PC, NH",297,48,https://www.animalcrossingportal.com/images/villagers/icons/flip.png,1st May 2020,Tier 6
295,Flo,https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/Flo_HD.png/revision/latest/scale-to-width-down/350?cb=20180518165227,Female,Sisterly,Penguin,September 2nd (Virgo),Virgo,"""cha""",Fiendish Shirt,A place to practice guitar.,Limboing,Marathon Runner,"Blend,  Just a little bit of milk,  One spoonful of sugar",Ornate,Space K.K.,"NL, NH",298,49,https://www.animalcrossingportal.com/images/villagers/icons/flo.png,1st May 2020,Tier 6
245,Freckles,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8b/Freckles_NewLeaf_Official.png/revision/latest?cb=20130721190141,Female,Peppy,Duck,February 19th (Pisces),Pisces,"""ducky""",Bright Tee,A fishy room under the sea,Staying Awake,Pharmacist,"Mocha, The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Song,"AF, AF+, AC, AFe+, WW, CF, NL, NH",299,50,https://www.animalcrossingportal.com/images/villagers/icons/freckles.png,1st May 2020,Tier 6
78,Frobert,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/Frobert_NewLeaf_Official.png/revision/latest?cb=20130721190427,Male,Jock,Frog,February 8th (Aquarius),Aquarius,"""fribbit""",Gracie Tank,A shrine to all things Gracie,Eating Quickly,Artist,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Sporty,My Place,"AFe+, WW, CF, NL, NH",300,51,https://www.animalcrossingportal.com/images/villagers/icons/frobert.png,1st May 2020,Tier 6
358,Gigi,https://vignette.wikia.nocookie.net/animalcrossing/images/d/dc/Gigi_NewLeaf_Official.png/revision/latest?cb=20130721190743,Female,Snooty,Frog,August 11th (Leo),Leo,"""ribette""",Beaded Tank,A space for a classy gal.,Subsistence Living,President,"Kilimanjaro,None at all,None at all",Ornate,Only Me,"CF, NL, NH",301,52,https://www.animalcrossingportal.com/images/villagers/icons/gigi.png,1st May 2020,Tier 6
351,Gloria,https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/Gloria_NewLeaf_Official.png/revision/latest?cb=20130721191051,Female,Snooty,Duck,August 12th (Leo),Leo,"""quacker""","Turnip Top (CF)  Corseted Shirt (NL, PC)",An alpine homage,Board Games,Stylist,"Blend,None at all,None at all",Ornate,K.K. Milonga,"CF, NL, NH",302,53,https://www.animalcrossingportal.com/images/villagers/icons/gloria.png,1st May 2020,Tier 6
35,Gonzo,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Gonzo_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164207,Male,Cranky,Koala,October 13th (Libra),Libra,"""mate""","Earthy Knit (AF, AF+, AC, AFe+, NL)Reindeer Sweater (NH)",Unknown,Mental Math,Mayor,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Unknown,K.K. D & B,"AF, AF+, AC, AFe+, NL, NH",303,54,https://www.animalcrossingportal.com/images/villagers/icons/gonzo.png,1st May 2020,Tier 6
66,Goose,https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/-Goose_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/292?cb=20130708020630,Male,Jock,Chicken,October 4th (Libra),Libra,"""buh-kay""",Tropical Tee,A room for waking up early,Waking Up Early,Soccer Player,"Blend,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Country,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",304,55,https://www.animalcrossingportal.com/images/villagers/icons/goose.png,1st May 2020,Tier 6
370,Greta,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/Greta_NH.png/revision/latest?cb=20200308192554,Female,Snooty,Mouse,September 5th (Virgo),Virgo,"""yelp""",Blossom Tee,A hot-springs spa,Playing Horseshoes,Florist,"Mocha,No milk,No sugar",Iconic,K.K. Jongara,"NL, HHD, NH",305,56,https://www.animalcrossingportal.com/images/villagers/icons/greta.png,1st May 2020,Tier 6
4,Grizzly,https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/Grizzly_NewHorizons.png/revision/latest?cb=20200407222650,Male,Cranky,Bear,July 31st (Leo),Leo,"""grrr...""","Houndstooth Tee (Animal Forest), Three-Ball Tee (City Folk, New Leaf, Flannel Shirt (New Horizons)",An opulent oil tycoon's hall.,Brainteasers,Photographer,"Blend,The regular amount of milk,Two spoonfuls of sugar",Basic,K.K. Condor,"AF, AF+, AC, AFe+, CF, NL, NH",306,57,https://www.animalcrossingportal.com/images/villagers/icons/grizzly.png,1st May 2020,Tier 6
26,Gruff,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/Gruff_NewLeaf_Official.png/revision/latest/scale-to-width-down/317?cb=20130721191414,Male,Cranky,Goat,August 29th (Virgo),Virgo,"""bleh eh eh""",Big-Star Tee,A classic barbershop,Staying Up Late,Musician,"Blend,Just a little bit of milk,One spoonful of sugar",Historical,K.K. Rockabilly,"AF, AF+, AC, AFe+, NL, NH",307,58,https://www.animalcrossingportal.com/images/villagers/icons/gruff.png,1st May 2020,Tier 6
86,Harry,https://vignette.wikia.nocookie.net/animalcrossing/images/3/36/Harry_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721191825,Male,Jock,Hippo,January 7th (Capricorn),Capricorn,"""beach bum""","Blue Aloha Shirt (AFe+) Jungle-Camo Tee (CF, NL)Camo Tee (NH)",A slop-tastic pad,Tongue Twisters,Fisherman,"Mocha,None at all,None at all",Historical,K.K. Calypso,"AFe+, CF, NL, NH",308,59,https://www.animalcrossingportal.com/images/villagers/icons/harry.png,1st May 2020,Tier 6
320,Hippeux,https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Hippeux_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163545,Male,Smug,Hippo,October 15th (Libra),Libra,"""natch""",Beige Emblem Blazer,An artist's studio,Juggling,Actor,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Moody,"NL, PC, NH",309,60,https://www.animalcrossingportal.com/images/villagers/icons/hippeux.png,1st May 2020,Tier 6
315,Huck,https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/Huck_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162921,Male,Smug,Frog,July 9th (Cancer),Cancer,"""hopper""",Melon Gingham,Unknown,Clearing My Plate,Architect,"Mocha, a little bit of milk, 1 spoonful of sugar",Unknown,I Love You,"AF, AF+, AC, AFe+, NL, NH",310,61,https://www.animalcrossingportal.com/images/villagers/icons/huck.png,1st May 2020,Tier 6
162,Hugh,https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Hugh_NewLeaf_Official.png/revision/latest/scale-to-width-down/279?cb=20130721192027,Male,Lazy,Pig,December 30th (Capricorn),Capricorn,"""snortle""",Jade Plaid Tee,"Eat, drink, sleep. Repeat.",Eating Quickly,Carpenter,"Kilimanjaro,A lot of milk,Three spoonfuls of sugar",Modern,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",311,62,https://www.animalcrossingportal.com/images/villagers/icons/hugh.png,1st May 2020,Tier 6
97,Iggly,https://vignette.wikia.nocookie.net/animalcrossing/images/0/06/Iggly_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721192205,Male,Jock,Penguin,November 2nd (Scorpio),Scorpio,"""waddler""",Red-Bar Tee,A winter-sports paradise.,Bunting,Baseball Player,"Mocha,  Lots of milk,  Three spoonfuls of sugar",Basic,K.K. March,"CF, NL, HHD, NH",312,63,https://www.animalcrossingportal.com/images/villagers/icons/iggly.png,1st May 2020,Tier 6
6,Ike,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/Ike_HHD.png/revision/latest/scale-to-width-down/350?cb=20180518170322,Male,Cranky,Bear,May 16th (Taurus),Taurus,"""roadie""","Jungle-camo shirt, Camo bomber-style jacket (NH)",Unknown,Doing Chin-Ups,Carpenter,"Mocha,No milk,No sugar",Rock 'N' Roll,K.K. Rock,"AFe+, NL, NH",313,64,https://www.animalcrossingportal.com/images/villagers/icons/ike.png,1st May 2020,Tier 6
114,Jacob,https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/Jacob_NL.png/revision/latest?cb=20161228214704,Male,Lazy,Bird,August 24th (Virgo),Virgo,"""chuuuuurp""",green tie dye shirt,Unknown,Staying Up Late,Poet,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Song,"AFe+, NL, NH",314,65,https://www.animalcrossingportal.com/images/villagers/icons/jacob.png,1st May 2020,Tier 6
193,Jambette,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d8/Jambette_NewHorizons.png/revision/latest?cb=20200407191622,Female,Normal,Frog,October 27th (Scorpio),Scorpio,"""croak-kay""",Prism Tee,A dressing room,Ventriloquism,Artist,"Mocha,Just a little bit of milk,One spoonful of sugar",Modern,K.K. Country,"AF, AF+, AC, AFe+, CF, NL, NH",315,66,https://www.animalcrossingportal.com/images/villagers/icons/jambette.png,1st May 2020,Tier 6
59,Jitters,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/Jitters_NL.png/revision/latest/scale-to-width-down/267?cb=20131006041145,Male,Jock,Bird,February 2nd (Aquarius),Aquarius,"""bzzert""",Soccer Tee,A soccer arena,Playing Catch,Soccer Player,"Kilimanjaro, None at all, None at all",Sporty,K.K. Samba,"WW, CF, NL, HHD, PC, NH",316,67,https://www.animalcrossingportal.com/images/villagers/icons/jitters.png,1st May 2020,Tier 6
136,Joey,https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/Joey_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708040004,Male,Lazy,Duck,January 3rd (Capricorn),Capricorn,"""bleeeeeck""",No.3 Shirt,A spa featuring cool milk,Blowing Bubbles,Sumo Wrestler,"Blend,None at all,None at all",Basic,K.K. Calypso,"AF, AF+, AC, AFe+, WW, CF, NL, NH",317,68,https://www.animalcrossingportal.com/images/villagers/icons/joey.png,1st May 2020,Tier 6
101,Kevin,https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/Kevin_NH.png/revision/latest?cb=20200402024235,Male,Jock,Pig,April 26th (Taurus),Taurus,"""weeweewee""",After-School Jacket,A spaceship,Whistling,Sumo Wrestler,"Mocha,No milk,No sugar",Sporty,K.K. Island,"NL, HHD. NH",318,69,https://www.animalcrossingportal.com/images/villagers/icons/kevin.png,1st May 2020,Tier 6
202,Kitt,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a8/-Kitt_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/342?cb=20130708031953,Female,Normal,Kangaroo,October 11th (Libra),Libra,"""child""","Deep Blue Shirt (AC), Blue Diamond Tee (WW, CF, NL)",An electronic showroom,Whistling,Cartoonist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Chorale,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",319,70,https://www.animalcrossingportal.com/images/villagers/icons/kitt.png,1st May 2020,Tier 6
304,Klaus,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/Klaus.png/revision/latest?cb=20161211212842,Male,Smug,Bear,March 31st (Aries),Aries,"""strudel""",Gold-Armor Suit,An ancient bathhouse,Debating,Politician,"Blue Mountain, Just a little bit of milk,  1 spoonful of sugar",Historical,K.K. Milonga,"AF, AF+, AC, AFe+, WW, CF, NL, NH",320,71,https://www.animalcrossingportal.com/images/villagers/icons/klaus.png,1st May 2020,Tier 6
13,Knox,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c4/Knox_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721192717,Male,Cranky,Chicken,November 23rd (Sagittarius),Sagittarius,"""cluckling""",Cavalier Shirt,A battle enthusiast's abode,Calculating Tips,Firefighter,"Blend,Lots of milk,Three spoonfuls of sugar",Iconic,K.K. Aria,"CF, NL, NH",321,72,https://www.animalcrossingportal.com/images/villagers/icons/knox.png,1st May 2020,Tier 6
38,Limberg,https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/Limberg_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708040543,Male,Cranky,Mouse,October 17th (Libra),Libra,"""squinky""",Subdued-Print Tee,A self-sustaining sanctuary,Making Faces,Mayor,"Mocha,No milk,No sugar",Historical,K.K. Folk,"AF, AF+, AC, AFe+, WW, CF, NL, NH",322,74,https://www.animalcrossingportal.com/images/villagers/icons/limberg.png,1st May 2020,Tier 6
83,Louie,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/Louie_HD.png/revision/latest/scale-to-width-down/350?cb=20180410104451,Male,Jock,Gorilla,March 26th (Aries),Aries,"""hoo hoo ha""","Lil Bro's shirt (AF, AFe+)  Big Bro's Tee (HHD, NL) Muscle Tee (NH)",A 30th-anniversary party!,Doing Handstands,Rugby Player,"Blue Mountain,No milk,No sugar",Sporty,Unknown,"AF, AF+, AC, AFe+, HHD (Discontinued DLC), NL, NH",323,75,https://www.animalcrossingportal.com/images/villagers/icons/louie.png,1st May 2020,Tier 6
306,Lucha,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/Lucha.png/revision/latest?cb=20161211212403,Male,Smug,Bird,December 12th (Sagittarius),Sagittarius,"""cacaw""",Dragon Jacket,A pro-wrestling arena,Making Faces,Pro Wrestler,"Blend,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Western,"NL, NH",324,76,https://www.animalcrossingportal.com/images/villagers/icons/lucha.png,1st May 2020,Tier 6
70,Mac,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1c/Mac_NewLeaf_Official.png/revision/latest/scale-to-width-down/333?cb=20130818041235,Male,Jock,Dog,November 11th (Scorpio),Scorpio,"""woo woof""",Red Aloha Tee,A summer campsite,Doing Chin-Ups,Boxer,"Blend,None at all,None at all",Sporty,My Place,"CF, NL, NH",325,77,https://www.animalcrossingportal.com/images/villagers/icons/mac.png,1st May 2020,Tier 6
352,Maelle,https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/Maelle_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708041205,Female,Snooty,Duck,April 8th (Aries),Aries,"""duckling""","Red Aloha Shirt (AF+, AC, AFe+)Heart Tee (WW, CF, NL)",A high-end fashion boutique.,Stomping Around,Makeup Artist,"Blend,None at all,None at all",Modern,Cafe K.K.,"AF+, AC, AFe+, WW, CF, NL, NH",326,78,https://www.animalcrossingportal.com/images/villagers/icons/maelle.png,1st May 2020,Tier 6
216,Maggie,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7a/MaggieACNL.png/revision/latest?cb=20161211202332,Female,Normal,Pig,September 3rd (Virgo),Virgo,"""schep""","Yodel Shirt (AFe+)Mint Shirt (NL, PC)Green Pintuck-Pleated Dress(NH)",Garage code,Memorizing Stuff,Gymnast,"Blend,The regular amount of milk,2 spoonfuls of sugar",Unknown,Forest Life,"AFe+, NL, NH",327,79,https://www.animalcrossingportal.com/images/villagers/icons/maggie.png,1st May 2020,Tier 6
353,Mallary,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/Mallary_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708041258,Female,Snooty,Duck,November 17th (Scorpio),Scorpio,"""quackpth""",Blue-Stripe Tee,A harvest-centric home,Debating,Esthetician,"Blend,None at all,None at all",Modern,K.K. Bossa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",328,80,https://www.animalcrossingportal.com/images/villagers/icons/mallary.png,1st May 2020,Tier 6
132,Marcel,https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/Marcel_NewLeaf_Official.png/revision/latest/scale-to-width-down/307?cb=20130721193940,Male,Lazy,Dog,December 31st (Capricorn),Capricorn,"""non""",Chichi-Print Tee,A zen-like washroom,Eating Frequently,Artist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,Comrade K.K.,"CF, NL, NH",329,81,https://www.animalcrossingportal.com/images/villagers/icons/marcel.png,1st May 2020,Tier 6
203,Marcie,https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/Marcie_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163852,Female,Normal,Kangaroo,May 31st (Gemini),Gemini,"""pouches""",Pink Tartan Tee,A nursery school,Memorizing Stuff,Teacher,"Mocha,None at all,None at all",Cute,K.K. Aria,"NL, NH",330,82,https://www.animalcrossingportal.com/images/villagers/icons/marcie.png,1st May 2020,Tier 6
366,Mathilda,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3d/Mathilda_NewLeaf_Official.png/revision/latest/scale-to-width-down/299?cb=20130721194455,Female,Snooty,Kangaroo,November 12th (Scorpio),Scorpio,"""wee baby""",U-R-Here Tee,A sustainable space,Pretending To Sleep,Writer,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Ragtime,"AF, AF+, AC, AFe+, WW, CF, NL, NH",331,83,https://www.animalcrossingportal.com/images/villagers/icons/mathilda.png,1st May 2020,Tier 6
354,Miranda,https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/Miranda_NewLeaf_Official.png/revision/latest?cb=20130818041459,Female,Snooty,Duck,April 23rd (Taurus),Taurus,"""quackulous""","Laced Shirt (AC, CF), Amethyst Tee (NL)",A stay-healthy home.,Subsistence Living,Model,"Blend,None at all,None at all",Ornate,K.K. Sonata,"AFe+, CF, NL, HHD, NH",332,84,https://www.animalcrossingportal.com/images/villagers/icons/miranda.png,1st May 2020,Tier 6
37,Monty,https://vignette.wikia.nocookie.net/animalcrossing/images/8/87/Monty_NewLeaf_Official.png/revision/latest/scale-to-width-down/321?cb=20130721195344,Male,Cranky,Monkey,December 7th (Sagittarius),Sagittarius,"""g'tang""",Blue-Bar Tee,A monkey mansion,Yo-Yoing,Detective,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,Pondering,"WW, CF, NL, NH",333,85,https://www.animalcrossingportal.com/images/villagers/icons/monty.png,1st May 2020,Tier 6
93,Moose,https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/Moose_NewLeaf_Official.png/revision/latest?cb=20130721195504,Male,Jock,Mouse,September 13th (Virgo),Virgo,"""shorty""",Big-Star Tee,A spot to play hoops,Telling Jokes,Mayor,"Mocha,  No milk,  No sugar",Flashy,Agent K.K.,"CF, NL, NH",334,86,https://www.animalcrossingportal.com/images/villagers/icons/moose.png,1st May 2020,Tier 6
178,Norma,https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/Norma_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161005,Female,Normal,Cow,September 20th (Virgo),Virgo,"""hoof hoo""",Red Aloha Shirt AFe+Blue Tartan Shirt NL,Unknown,Karaoke,Teacher,"Mocha,Lots of milk,Three spoonfuls of sugar",Unknown,Mountain Song,"AFe+, NL, NH",335,87,https://www.animalcrossingportal.com/images/villagers/icons/norma.png,1st May 2020,Tier 6
357,Opal,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/Opal_NewLeaf_Official.png/revision/latest/scale-to-width-down/341?cb=20130721200200,Female,Snooty,Elephant,January 20th (Aquarius),Aquarius,"""snoot""",Gray Tartan Tee,A serene spa,Memorizing Stuff,Doctor,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",336,88,https://www.animalcrossingportal.com/images/villagers/icons/opal.png,1st May 2020,Tier 6
376,Pancetti,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/Pancetti_NH.png/revision/latest/scale-to-width-down/272?cb=20200312184214,Female,Snooty,Pig,November 14th (Scorpio),Scorpio,"""sooey""",Canary Shirt,A sleep sanctuary,Forgetting Stuff,President,"Blue Mountain,A little bit of milk,One spoonful of sugar",Modern,K.K. Fusion,"NL, HHD, NH",337,89,https://www.animalcrossingportal.com/images/villagers/icons/pancetti.png,1st May 2020,Tier 6
230,Pango,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Pango_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/350?cb=20130708042249,Female,Peppy,Anteater,November 9th (Scorpio),Scorpio,"""snooooof""",Subdued-Print Tee,"A posh, private day spa",Tongue Twisters,Esthetician,"Kilimanjaro,  Just a little bit of milk,  One spoonful of sugar",Modern,K.K. Casbah,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",338,90,https://www.animalcrossingportal.com/images/villagers/icons/pango.png,1st May 2020,Tier 6
140,Paolo,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/Paolo_HD.png/revision/latest/scale-to-width-down/350?cb=20180506195048,Male,Lazy,Elephant,May 5th (Taurus),Taurus,"""pal""","N64 Shirt (AF)GC Shirt/Diner Uniform (AF+)Cherry Shirt (PG, AFe+)Pastel-Stripe Tee (NL, PC)Star Tee (HHD)",Unknown,Competitive Eating,Hair Stylist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,Unknown,"AF, AF+, AC, AFe+, NL, NH",339,91,https://www.animalcrossingportal.com/images/villagers/icons/paolo.png,1st May 2020,Tier 6
247,Pate,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/Pate_NewLeaf_Official.png/revision/latest?cb=20130721201210,Female,Peppy,Duck,February 23rd (Pisces),Pisces,"""quackle""",Winter Sweater,A stylish Internet café,Pretending To Sleep,Archaeologist,"Mocha, The regular amount of milk, Two spoonfuls of sugar",Modern,K.K. Steppe,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",340,92,https://www.animalcrossingportal.com/images/villagers/icons/pate.png,1st May 2020,Tier 6
279,Paula,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/Rachel.png/revision/latest?cb=20130520235305,Female,Sisterly,Bear,March 22nd (Aries),Aries,"""yodelay""",Denim Shirt AFe+Pep Squad Tee NL,A karaoke parlor,Baton Twirling,Volleyball Player,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Dixie,"AFe+, NL, NH",341,93,https://www.animalcrossingportal.com/images/villagers/icons/paula.png,1st May 2020,Tier 6
199,Peaches,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b0/PeachesNH.jpeg/revision/latest?cb=20200328003723,Female,Normal,Horse,November 28th (Sagittarius),Sagittarius,"""neighbor""",Lite Polka Tee,An oasis of round furniture,Fishing,Florist,"Kilimanjaro,No milk,No sugar",Cute,K.K. Song,"AF, AF+, AC, AFe+, CF, NL, NH",342,94,https://www.animalcrossingportal.com/images/villagers/icons/peaches.png,1st May 2020,Tier 6
29,Peewee,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/Peewee_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721202151,Male,Cranky,Gorilla,September 11th (Virgo),Virgo,"""li'l dude""",Five-Ball Tee,Unknown,Karaoke,Pro Wrestler,"Blend, Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Rally,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",343,95,https://www.animalcrossingportal.com/images/villagers/icons/peewee.png,1st May 2020,Tier 6
261,Peggy,https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/Peggy_NewLeaf_Official.png/revision/latest/scale-to-width-down/274?cb=20130721202313,Female,Peppy,Pig,May 23rd (Gemini),Gemini,"""shweetie""",Blue-Stripe Tee(NL) Aran-knit Sweater(NH),A mermaid's life,Stomping Around,Movie Star,"Blue Mountain, A little bit of milk,One spoonful of sugar",Sporty,K.K. Bossa,"AFe+, CF, NL, HHD, NH",344,96,https://www.animalcrossingportal.com/images/villagers/icons/peggy.png,1st May 2020,Tier 6
258,Penelope,https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Penelope_NH.png/revision/latest?cb=20200321211853,Female,Peppy,Mouse,February 5th (Aquarius),Aquarius,"""oh bow""",Pink Wave Tank,A nonstop wedding party,Photography,Actor,"Kilimanjaro,  A lot of milk,  Three spoonfuls of sugar",Cute,Bubblegum K.K.,"NL, HHD, PC, NH",345,97,https://www.animalcrossingportal.com/images/villagers/icons/penelope.png,1st May 2020,Tier 6
294,Phoebe,https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/Phoebe_NH.png/revision/latest/scale-to-width-down/242?cb=20200308185133,Female,Sisterly,Ostrich,April 22nd (Taurus),Taurus,"""sparky""",Flame Tee,A fiery hangout,Eating Frequently,Swimmer,"Kilimanjaro, Just a little bit of milk,One spoonful of sugar",Ornate,K.K. Flamenco,"NL, HHD, PC, NH",346,98,https://www.animalcrossingportal.com/images/villagers/icons/phoebe.png,1st May 2020,Tier 6
269,Pippy,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/Pippy_NH.png/revision/latest/scale-to-width-down/249?cb=20200311014506,Female,Peppy,Rabbit,June 14th (Gemini),Gemini,"""li'l hare""","Ugly shirt  (AC)   Mint Gingham Tee  (WW, CF, NL) ",A striped room,Debating,Superhero,"Blue Mountain, Lots of milk,Three spoonfuls of sugar",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",347,99,https://www.animalcrossingportal.com/images/villagers/icons/pippy.png,1st May 2020,Tier 6
282,Plucky,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a5/Plucky_HD.png/revision/latest/scale-to-width-down/350?cb=20180518160940,Female,Sisterly,Chicken,October 12 (Libra),Libra,"""chicky-poo""","Red Aloha Shirt (AFe+)Cool Tank (NL, PC)Tropical Tee (NH)",Unknown,Hula Dancing,Dancer,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Island,"AF+, AC, AFe+, NL, NH",348,100,https://www.animalcrossingportal.com/images/villagers/icons/plucky.png,1st May 2020,Tier 6
248,Pompom,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/Pompom_NewHorizons.png/revision/latest?cb=20200406221127,Female,Peppy,Duck,February 11th (Aquarius),Aquarius,"""rah rah""",No. 4 Shirt,"A splashy, modern garden",Trivia,Ceo,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Jazz,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",349,101,https://www.animalcrossingportal.com/images/villagers/icons/pompom.png,1st May 2020,Tier 6
