,Name,Image,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances
268,Peaches,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b0/PeachesNH.jpeg/revision/latest?cb=20200328003723,Female,Normal,Horse,November 28th (Sagittarius),(Sagittarius),"""neighbor""",Lite Polka Tee,An oasis of round furniture,Fishing,Florist,"Kilimanjaro,No milk,No sugar",Cute,K.K. Song,"AF, AF+, AC, AFe+, CF, NL, NH"
324,Savannah,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/Savannah_NewLeaf_Official.png/revision/latest/scale-to-width-down/304?cb=20130818042146,Female,Normal,Horse,January 25th (Aquarius),(Aquarius),"""y'all""",Deep-Blue Tee,A home with natural beauty.,Calculating Tips,Tour Guide,"Kilimanjaro,No milk,No sugar",Modern,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
71,Carrie,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a4/Carrie_HD.png/revision/latest/scale-to-width-down/350?cb=20180405153741,Female,Normal,Kangaroo,December 5th (Sagittarius),(Sagittarius),"""little one""",Toad Tee,A garden for kids to play in,Making budgets,Illustrator,"Mocha, none at all, none at all",Unknown,K.K. Lullaby,"AF, AF+, AC, AFe+, NL, HHD, PC, NH"
199,Kitt,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a8/-Kitt_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/342?cb=20130708031953,Female,Normal,Kangaroo,October 11th (Libra),(Libra),"""child""","Deep Blue Shirt (AC), Blue Diamond Tee (WW, CF, NL)",An electronic showroom,Whistling,Cartoonist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Chorale,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH"
226,Marcie,https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/Marcie_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163852,Female,Normal,Kangaroo,May 31st (Gemini),(Gemini),"""pouches""",Pink Tartan Tee,A nursery school,Memorizing,Teacher,"Mocha,None at all,None at all",Cute,K.K. Aria,"NL, NH"
5,Alice,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Alice_NewHorizons.png/revision/latest/scale-to-width-down/350?cb=20200412225706,Female,Normal,Koala,August 19th (Leo),(Leo),"""guvnor""",Barber Tee,A mix of antique pieces,Photography,Stylist,"Mocha,None milk,No sugar",Cute,Surfin' K.K.,"AFe+, WW, CF, HHD, PC, NH"
231,Melba,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/Melba_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721194654,Female,Normal,Koala,April 12th (Aries),(Aries),"""toasty""",Green-Stripe Tank,A scene from a fairy tale,Yo-yoing,Professor,"Mocha,No milk,No sugar",Basic,K.K. Ragtime,"WW, CF, NL, NH"
347,Sydney,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bb/Sydney_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721212702,Female,Normal,Koala,June 21st (Gemini),(Gemini),"""sunshine""",Big-Dot Tee,An office with a phone,Chopping vegetables,Translator,"Mocha,None at all,None at all",Iconic,K.K. Country,"AF, AF+, AC, AFe+, CF, NL, NH"
248,Nana,https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/Nana_NewLeaf_Official.png/revision/latest/scale-to-width-down/317?cb=20130818041645,Female,Normal,Monkey,August 23rd (Virgo),(Virgo),"""po po""",Bubble-Gum Tee,A serene park to lunch in,Making crafts,Judge,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Cute,K.K. Dixie,"WW, CF, NL, HHD, PC, NH"
36,Bettina,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/Bettina_NH.png/revision/latest?cb=20200308192230,Female,Normal,Mouse,June 12th (Gemini),(Gemini),"""eekers""",Chef's Outfit,A famous patisserie,Forgetting stuff,Chef,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Official,K.K. Swing,"CF, NL, NH"
117,Dora,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a0/Dora_NewLeaf_Official.png/revision/latest?cb=20130818040250,Female,Normal,Mouse,February 18th (Aquarius),(Aquarius),"""squeaky""",Sharp Outfit,A herb garden,Dusting,Translator,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Iconic,Only Me,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
227,Marina,https://vignette.wikia.nocookie.net/animalcrossing/images/9/96/NH-icon-Marina-00.png/revision/latest/scale-to-width-down/300?cb=20200224185328,Female,Normal,Octopus,June 26th (Cancer),(Cancer),"""blurp""","Red Aloha Shirt (AFe+)Bubble-Gum Tee (WW, CF, NL)Dreamy Sweater (NH)",An underwater fantasy land,Tongue twisters,Pharmacist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,Soulful K.K.,"AFe+, WW, CF, NL, PC, NH"
323,Sandy,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a9/Sandy_NH.png/revision/latest/scale-to-width-down/261?cb=20200308185329,Female,Normal,Ostrich,October 21st (Libra),(Libra),"""speedy""",Blue Scale Shirt (AFe+)Wide-Stripe Tee (NL)Wide-Stripe Tank (NH),Unknown,Making puns,Artist,"Blend,No milk,No sugar",Unknown,K.K. Soul,"AF, AF+, AC, AFe+, NL, PC, NH"
154,Gladys,https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Gladys_NH.png/revision/latest/scale-to-width-down/350?cb=20200317170137,Female,Normal,"Ostrich, appearance based on Red-Crowned Crane",January 15th (Capricorn),(Capricorn),"""stretch""",Misty Tee,A peaceful zen garden,Calligraphy,Architect,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Folk,"AFe+, WW, CF, PC, NH"
20,Aurora,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/NH-Aurora-Render.png/revision/latest/scale-to-width-down/350?cb=20200202215217,Female,Normal,Penguin,January 27th (Aquarius),(Aquarius),"""b-b-baby""","Classic Top (AC)  Pink Tartan Tee (WW, CF, NL, PC)",A flower shop,Making Budgets,Doctor,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Gumbo,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
149,Gala,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/Gala_NewLeaf_Official.png/revision/latest/scale-to-width-down/282?cb=20130721190601,Female,Normal,Pig,March 5th (Pisces),(Pisces),"""snortie""",Daisy Tee,The town bank,Rock-Paper-Scissors,Violinist,"Mocha,No milk,No sugar",Cute,Two Days Ago,"CF, NL, HHD, NH"
216,Lucy,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Lucy_NewLeaf_Official.png/revision/latest/scale-to-width-down/273?cb=20130721193539,Female,Normal,Pig,June 2nd (Gemini),(Gemini),"""snoooink""",Natty Tee,A creepy-looking dollhouse.,Baton twirling,Tour guide,"Mocha,No milk,No sugar",Cute,Comrade K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
221,Maggie,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7a/MaggieACNL.png/revision/latest?cb=20161211202332,Female,Normal,Pig,September 3rd (Virgo),(Virgo),"""schep""","Yodel Shirt (AFe+)Mint Shirt (NL, PC)Green Pintuck-Pleated Dress(NH)",Garage code,Memorizing stuff,Gymnast,"Blend,The regular amount of milk,2 spoonfuls of sugar",Unknown,Forest Life,"AFe+, NL, NH"
92,Coco,https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Coco_NH.png/revision/latest/scale-to-width-down/258?cb=20200321103716,Female,Normal,Rabbit,March 1st (Pisces),(Pisces),"""doyoing""","Misty Shirt  (AC)  Dawn Tee  (WW, CF, NL) ",An ancient-artifacts exhibit,Writing backwards,Astronaut,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Dirge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
232,Merengue,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/Merengue_NH.png/revision/latest/scale-to-width-down/336?cb=20200321211014,Female,Normal,Rhino,March 19th (Pisces),(Pisces),"""shortcake""","Chef's Outfit (NL, NH)",A candy house,Doodling,Pastry chef,"Blend,A little bit of milk,One spoonful of sugar",Official,K.K. Stroll,"NL, HHD, PC, NH"
302,Rhonda,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Rhonda_NH.png/revision/latest/scale-to-width-down/335?cb=20200312014814,Female,Normal,Rhino,January 24th (Aquarius),(Aquarius),"""bigfoot""","Bodice (CF)Corseted Shirt (NL, PC)",A relaxing island getaway,Making crafts,Writer,"Mocha,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Ballad,"WW, CF, NL, HHD, PC, NH"
130,Eunice,https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/Eunice_NH.png/revision/latest/scale-to-width-down/350?cb=20200403102308,Female,Normal,Sheep,April 3rd (Aries),(Aries),"""lambchop""",Red-Grid Tee,A toast-warm winter room,Dusting,Hair stylist,"Blue Mountain,A little bit of milk,One spoonful of sugar",Basic,K.K. Waltz,"AF, AF+, AC, AFe+, CF, NL, HHD, NH"
342,Stella,https://vignette.wikia.nocookie.net/animalcrossing/images/9/95/Stella_NH.png/revision/latest/scale-to-width-down/350?cb=20200321205930,Female,Normal,Sheep,April 9th (Aries),(Aries),"""baa-dabing""",Aurora Knit,Unknown,Magic tricks,Professor,"Kilimanjaro,Lots of milk,3 spoonfuls of sugar",Unknown,Only Me,"AF, AF+, AC, AFe+, NL, NH"
372,Vesta,https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/NH-Vesta-Render.png/revision/latest/scale-to-width-down/350?cb=20200222193555,Female,Normal,Sheep,April 16th (Aries),(Aries),"""baaaffo""",Fall Plaid Tee,A place with a fireplace,Computing,Archaeologist,"Blue Mountain,A little bit of milk,One spoonful of sugar",Historical,K.K. Steppe,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
65,Cally,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a6/Cally_NH.png/revision/latest/scale-to-width-down/350?cb=20200309020719,Female,Normal,Squirrel,September 4th (Virgo),(Virgo),"""WHEE""",Ladybug Tank,A nice place to do laundry.,Whistling,Lawyer,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Official,K.K. Love Song,"NL, NH"
70,Caroline,https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/Caroline_NH.png/revision/latest?cb=20200309023642,Female,Normal,Squirrel,July 15th (Cancer),(Cancer),"""hulaaaa""",Gelato Tee,A rustic ranch house,Yo-yoing,Volleyball player,"Kilamanjaro,A little bit of milk,One spoonful of sugar",Cute,DJ K.K.,"WW, CF, NL, NH"
286,Poppy,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c4/Poppy_NH.png/revision/latest/scale-to-width-down/350?cb=20200309021015,Female,Normal,Squirrel,August 5th (Leo),(Leo),"""nutty""","Rally Tee (CF, NL)Alpinist Dress (NH)",A pet-friendly paradise,Making Budgets,Stylist,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Modern,K.K. Lullaby,"CF, NL, HHD, PC, NH"
321,Sally,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Sally_NH.png/revision/latest?cb=20200309012550,Female,Normal,Squirrel,June 19th (Gemini),(Gemini),"""nutmeg""","Neo-Classic Knit  (AC)Icy Shirt  (WW, CF, NL) Winter Sweater (NH)",A green space with flowers,Blowing bubbles,Chef,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Official,K.K. Fusion,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
348,Sylvana,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fc/Sylvana_NH.png/revision/latest?cb=20200309023320,Female,Normal,Squirrel,October 22nd (Libra),(Libra),"""hubbub""",Kiwi shirt(AFe+ - NL) Kiwi Tank(NH),Unknown,Doodling,Superhero,"Blue Mountain,Lots of milk,3 spoonfuls of sugar",Unknown,Spring Blossoms,"AFe+, NL, NH"
331,Skye,https://vignette.wikia.nocookie.net/animalcrossing/images/a/aa/NH-icon-Skye_00.png/revision/latest/scale-to-width-down/248?cb=20200224182217,Female,Normal,Wolf,March 24th (Aries),(Aries),"""airmail""",Spring Shirt(NL) Peasant Blouse(NH),An art studio,Chopping vegetables,Pastry chef,"Kilimanjaro,No milk,No sugar",Cute,Forest Life,"NL, HHD, PC, NH"
8,Anabelle,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Anabelle_NewHorizons.png/revision/latest?cb=20200417190821,Female,Peppy,Anteater,February 16th (Aquarius),(Aquarius),"""snorty""",Tropical Tee,A cosmopolitan yard,Jumping rope,Judge,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Cute,Aloha K.K.,"WW, CF, NL, HHD, PC, NH"
261,Pango,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Pango_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/350?cb=20130708042249,Female,Peppy,Anteater,November 9th (Scorpio),(Scorpio),"""snooooof""",Subdued-Print Tee,"A posh, private day spa",Tongue twister,Esthetician,"Kilimanjaro,  Just a little bit of milk,  One spoonful of sugar",Modern,K.K. Casbah,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
280,Pinky,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1b/Pinky_NewLeaf_Official.png/revision/latest/scale-to-width-down/261?cb=20130721202731,Female,Peppy,Bear,September 9th (Virgo),(Virgo),"""wah""",Dazed Tee,A feng-shui flow,Hula dancing,Cartoonist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Cute,Imperial K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
367,Tutu,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/Tutu.png/revision/latest/scale-to-width-down/300?cb=20130718140022,Female,Peppy,Bear,September 15th (Virgo),(Virgo),"""twinkles""","Heart Tee (AF, AC. WW. CF, NL)Heart Sweater (NH)",A cool place to chill out,Typing,Teacher,"Blend, The regular amount of milk, Two spoonfuls of sugar",Cute,K.K. Steppe,"AF, AF+, AC, AFe+, CF, NL, HHD, NH"
281,Piper,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/Piper_HD.png/revision/latest/scale-to-width-down/350?cb=20180518160447,Female,Peppy,Bird,April 18th (Aries),(Aries),"""chickadee""","Striking Outfit (AFe+)Tropical Tee (NL, PC)",Unknown,Board games,Translator,"Blend,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Synth,"AF, AF+, AC, AFe+, NL, HHD, PC, NH"
368,Twiggy,https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/Twiggy_NewLeaf_Official.png/revision/latest?cb=20130818075928,Female,Peppy,Bird,July 13th (Cancer),(Cancer),"""cheepers""",Barber Tee,Surrounded by souvenirs,Spoon bending,Dentist,"Kilimanjaro,None at all,None at all",Flashy,K.K. Calypso,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
134,Felicity,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/Felicity_NewLeaf_Official.png/revision/latest/scale-to-width-down/232?cb=20130721184858,Female,Peppy,Cat,March 30th (Aries),(Aries),"""mimimi""",Dapper Tee,A television-show set,Rock paper scissors,Swimmer,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Lullaby,"AFe+, CF, NL, NH"
233,Merry,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/Merry_NewLeaf_Official.png/revision/latest/scale-to-width-down/230?cb=20130721194909,Female,Peppy,Cat,June 29th (Cancer),(Cancer),"""mweee""",Daisy Tee,An artsy room for sketching,Vaulting,Figure Skater,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Cute,DJ K.K.,"AFe+, CF, NL, PC, NH"
317,Rosie,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/NH-Rosie-Render.png/revision/latest?cb=20200324160932,Female,Peppy,Cat,February 27th (Pisces),(Pisces),"""silly""","Short Cake Shirt (AC)Dazed Tee (WW, CF, NL, PC)Dazed Dress (NH)",An office/studio for a star,Karaoke,Movie Star,"Mocha,Just a little bit of milk,One spoonful of sugar",Cute,Bubblegum K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Dōbutsu no Mori"
350,Tabby,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3e/-Tabby_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/271?cb=20130708015816,Female,Peppy,Cat,August 13th (Leo),(Leo),"""me-WOW""","Fish-Bone Shirt (Animal Crossing & Animal Forest e+)Bone Shirt (Wild World, City Folk & New Leaf)","An old, abandoned hospital",Telling Jokes,Tennis Player,"Blue Mountain, The regular amount of milk,Two spoonfuls of sugar",Sporty,To the Edge,"AF, AF+, AC, AFe+, WW, CF, NL,  NH"
354,Tangy,https://vignette.wikia.nocookie.net/animalcrossing/images/1/13/Tangy_NewHorizons.png/revision/latest?cb=20200407165845,Female,Peppy,Cat,June 17th (Gemini),(Gemini),"""reeeeOWR""",Blue Stripe Tee,A deliciously fruity room.,Doing Handstands,Hair Stylist,"Blue Mountain, The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Island,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Nintendo Land"
266,Patty,https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/Patty_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/344?cb=20130708042313,Female,Peppy,Cow,May 10th (Taurus),(Taurus),"""how-now""",Citrus Tee,An everyday cookout,Competitive eating,Pastry chef,"Kilimanjaro, The regular amount of milk,  Two spoonfuls of sugar",Modern,K.K. Calypso,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
46,Bluebear,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/Bluebear_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/306?cb=20130707210538,Female,Peppy,Cub,June 24th (Cancer),(Cancer),"""peach""",Lemon Gingham Tee(NL) Aran-knit Sweater(NH),A supersweet bakery,Spoon bending,Cartoonist,"Mocha,Lots of milk,Three spoonfuls of sugar",Cute,K.K. Ska,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
77,Cheri,https://vignette.wikia.nocookie.net/animalcrossing/images/0/00/Cheri_NewLeaf_Official.png/revision/latest/scale-to-width-down/291?cb=20130818185212,Female,Peppy,Cub,March 17th (Pisces),(Pisces),"""tralala""","Yellow Bar Shirt (AC) Sunflower Tee (NL, PC)",A fruity room for juicing,Staying positive,Marathon runner,"Mocha,Lots of milk,Three spoonfuls of sugar",Sporty,[[K.K. SynthK.K. Disco (NH)]],"AF+, AC, AFe+, NL, HHD, PC, NH"
95,Cookie,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/Cookie_NewLeaf_Official.png/revision/latest/scale-to-width-down/340?cb=20130721181436,Female,Peppy,Dog,June 18th (Gemini),(Gemini),"""arfer""",Blue Tartan Tee,A room fit for a princess,Dancing,Actor,"Blend,None at all,None at all",Cute,Bubblegum K.K.,"AF, AF+, AC, AFe+, CF, NL, NH"
219,Maddie,https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/Maddie_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161841,Female,Peppy,Dog,January 11th (Capricorn),(Capricorn),"""yippee""","Fortune Shirt (AF, AF+, AC, AFe+) Picnic Tee (HHD, NL)Layered Sleeveless Dress (NH)",A stationary room,Tongue twisters,Tour Guide,"Blue mountain, lots of milk, 3 spoonfuls of sugar",Unknown,Forest Life,"AF, AF+, AC, AFe+, HHD (Discontinued DLC), NL, NH"
142,Freckles,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8b/Freckles_NewLeaf_Official.png/revision/latest?cb=20130721190141,Female,Peppy,Duck,February 19th (Pisces),(Pisces),"""ducky""",Bright Tee,A fishy room under the sea,Staying awake,Pharmacist,"Mocha, The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Song,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
194,Ketchup,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Ketchup_HD.png/revision/latest/scale-to-width-down/350?cb=20180404120537,Female,Peppy,Duck,July 27th (Leo),(Leo),"""bitty""","Flicker Shirt (AFe+)Rose Sky Tee (NL, PC)",Unknown,Chopping vegetables,Singer,"Kilimanjaro, a little bit of milk, 1 spoonful of sugar",Unknown,Neapolitan,"AFe+, NL, PC, NH"
265,Pate,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/Pate_NewLeaf_Official.png/revision/latest?cb=20130721201210,Female,Peppy,Duck,February 23rd (Pisces),(Pisces),"""quackle""",Winter Sweater,A stylish Internet café,Pretending to sleep,Archaeologist,"Mocha, The regular amount of milk, Two spoonfuls of sugar",Modern,K.K. Steppe,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH"
284,Pompom,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/Pompom_NewHorizons.png/revision/latest?cb=20200406221127,Female,Peppy,Duck,February 11th (Aquarius),(Aquarius),"""rah rah""",No. 4 Shirt,"A splashy, modern garden",Trivia,CEO,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Jazz,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH"
290,Puddles,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/Puddles_NewLeaf_Official.png/revision/latest?cb=20130721205303,Female,Peppy,Frog,January 13th (Capricorn),(Capricorn),"""splish""",Lovely Tee,"An adorable, pink room",Limboing,Tennis player,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Ornate,K.K. Ballad,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
17,Apple,https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/Apple_Villager.png/revision/latest?cb=20160504222447,Female,Peppy,Hamster,September 24th (Libra),(Libra),"""cheekers""",Lite Polka Tee,An apple-inspired room,Karaoke,Movie Star,"Blend,The regular amount of milk,Two spoonfuls of sugar",Cute,I Love You,"NL, HHD, PC, NH"
59,Bubbles,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d2/Bubbles_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721175520,Female,Peppy,Hippo,September 18th (Virgo),(Virgo),"""hipster""",Crossing Shirt (GCN) Grape Tee (NL),An indoor beach,Limboing,Volleyball player,"Mocha,No milk,No sugar",Sporty,K.K. Stroll,"AF, AF+, AC, AFe+, NL, NH"
374,Victoria,https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/Victoria_NewLeaf_Official.png/revision/latest/scale-to-width-down/324?cb=20130721213141,Female,Peppy,Horse,July 11th (Cancer),(Cancer),"""sugar cube""","Racer 6 shirt (AFe+)One-Ball Tee (WW, CF)",A lucky yellow room,Playing horseshoes,Marathon runner,"Mocha,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Country,"AFe+, WW, CF, NL, NH"
384,Winnie,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Winnie_NewLeaf_Official.png/revision/latest/scale-to-width-down/297?cb=20130726030905,Female,Peppy,Horse,January 31st (Aquarius),(Aquarius),"""hay-OK""",Cow Tee,A stable for horses,Tiptoeing,Volleyball player,"Mocha, Just a little bit of milk,  One spoonful of sugar",Modern,My Place,"AF, AF+, AC, AFe+, CF, NL, NH"
352,Tammi,https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/Tammi_NewLeaf_Official.png/revision/latest/scale-to-width-down/297?cb=20130818042257,Female,Peppy,Monkey,April 2nd (Aries),(Aries),"""chimpy""",New Spring Tee,Unknown,Making puns,Artist,"Mocha,  The regular amount of milk,  Two spoonfuls of sugar",Flashy,Imperial K.K.,"WW, CF, NL, NH"
12,Anicotti,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2e/Anicotti_NewLeaf_Official.png/revision/latest?cb=20130721165013,Female,Peppy,Mouse,February 24th (Pisces),(Pisces),"""cannoli""","Desert Shirt (AC)Peachy Tee (NL, PC)",A pizza-party space,Oversleeping,Photographer,"Mocha,No milk,No sugar",Flashy,Neapolitan,"AF, AF+, AC, AFe+, NL, HHD, PC, NH"
32,Bella,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e4/Bella_NewLeaf_Official.png/revision/latest/scale-to-width-down/324?cb=20130721172434,Female,Peppy,Mouse,December 28th (Capricorn),(Capricorn),"""eeks""",Skull Tee,A place to practice singing,Staying up late,Singer,"Mocha,No milk,No sugar",Rock 'n' roll,K.K. Metal,"AFe+, WW, CF, NL, NH"
68,Candi,https://vignette.wikia.nocookie.net/animalcrossing/images/5/59/Candi_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164813,Female,Peppy,Mouse,April 13th,N,"""sweetie""",Ancient Knit (AFe+) Deer Shirt (NL),Unknown,Home repair,Judge,"Kilimanjaro, Lots of milk, 3 spoonfuls of sugar",Historical,K.K. Ragtime,"AF, AF+, AFe+, NL, NH"
275,Penelope,https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Penelope_NH.png/revision/latest?cb=20200321211853,Female,Peppy,Mouse,February 5th (Aquarius),(Aquarius),"""oh bow""",Pink Wave Tank,A nonstop wedding party,Photography,Actor,"Kilimanjaro,  A lot of milk,  Three spoonfuls of sugar",Cute,Bubblegum K.K.,"NL, HHD, PC, NH"
138,Flora,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/Flora_NH.png/revision/latest/scale-to-width-down/272?cb=20200308184848,Female,Peppy,Ostrich,February 9th (Aquarius),(Aquarius),"""pinky""",Gumdrop Tee,A place that's all pink,Staying awake,Gymnast,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Modern,K.K. Flamenco,"NL,NH"
339,Sprinkle,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Sprinkle_HD.png/revision/latest/scale-to-width-down/350?cb=20180518165219,Female,Peppy,Penguin,February 20th (Pisces),(Pisces),"""frappe""",Icy Shirt,A frozen world to play in,Jumping rope,Figure skater,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Cute,Cafe K.K.,"NL, HHD, PC, NH"
273,Peggy,https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/Peggy_NewLeaf_Official.png/revision/latest/scale-to-width-down/274?cb=20130721202313,Female,Peppy,Pig,May 23rd (Gemini),(Gemini),"""shweetie""",Blue-Stripe Tee(NL) Aran-knit Sweater(NH),A mermaid's life,Stomping around,Movie star,"Blue Mountain, A little bit of milk,One spoonful of sugar",Sporty,K.K. Bossa,"AFe+, CF, NL, HHD, NH"
365,Truffles,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6b/Truffles_NewLeaf_Official.png/revision/latest/scale-to-width-down/307?cb=20130806164452,Female,Peppy,Pig,July 28th (Leo),(Leo),"""snoutie""","Turnip Top (AC, WW, CF)Fern Tee (NL, PC)",A constant quiz show,Trivia,Actor,"Blue Mountain,  A little bit of milk, One spoonful of sugar",Cute,Two Days Ago (Neapolitan in New Horizons),"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
48,Bonbon,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cc/Bonbon_NH.png/revision/latest/scale-to-width-down/245?cb=20200321103645,Female,Peppy,Rabbit,March 3rd (Pisces),(Pisces),"""deelish""",Chocomint Tee,"The ""it"" house",Competitive eating,Swimmer,"Mocha,The regular amount of milk, 2 spoonfuls of sugar",Cute,K.K. Disco,"NL, HHD, NH"
