,Name,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image,Updated Date,Tier
52,Roald,Male,Jock,Penguin,January 5th (Capricorn),Capricorn,"""b-b-buddy""",Café Tee (AF - PC)Red Flannel Shirt (NH),A room fit for a racer,Belly Dancing,Pro Golfer,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Parade,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",15,15,https://www.animalcrossingportal.com/images/villagers/icons/roald.png,15th May 2020,Tier 1
56,Pietro,Male,Smug,Sheep,April 19th (Aries),Aries,"""honk honk""",Dawn Tee (NL -PC) Jester Shirt (NH),A dreamland for Pietro.,Making Crafts,Artist,"Blue Mountain,A little bit of milk,One spoonful of sugar",Flashy,K.K. Parade,"NL, HHD, PC, NH",20,5,https://www.animalcrossingportal.com/images/villagers/icons/pietro.png,15th May 2020,Tier 2
267,Broccolo,Male,Lazy,Mouse,June 30th (Cancer),Cancer,"""eat it""",Kiddie Tee,A bug house,Climbing Trees,Movie Director,"Blend, The regular amount of milk,  Two spoonfuls of sugar",Flashy,K.K. Ragtime,"AFe+, CF, NL, HHD, PC, NH",145,34,https://www.animalcrossingportal.com/images/villagers/icons/broccolo.png,15th May 2020,Tier 5
79,Moe,Male,Lazy,Cat,January 12th (Capricorn),Capricorn,"""myawn""","Fish Bone Shirt (Animal Forest e+)  BB Tee (WW, CF, NL, PC)",A magician's hideaway,Fishing,Ceo,"Kilimanjaro,None at all,None at all",Sporty,K.K. Ragtime,"AFe+, WW, CF, HHD, PC, NH",291,39,https://www.animalcrossingportal.com/images/villagers/icons/moe.png,15th May 2020,Tier 6
272,Candi,Female,Peppy,Mouse,April 13th,Unknown,"""sweetie""",Ancient Knit (AFe+) Deer Shirt (NL),Unknown,Home Repair,Judge,"Kilimanjaro, Lots of milk, 3 spoonfuls of sugar",Historical,K.K. Ragtime,"AF, AF+, AFe+, NL, NH",154,43,https://www.animalcrossingportal.com/images/villagers/icons/candi.png,15th May 2020,Tier 5
330,Mathilda,Female,Snooty,Kangaroo,November 12th (Scorpio),Scorpio,"""wee baby""",U-R-Here Tee,A sustainable space,Pretending To Sleep,Writer,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Ragtime,"AF, AF+, AC, AFe+, WW, CF, NL, NH",286,35,https://www.animalcrossingportal.com/images/villagers/icons/mathilda.png,15th May 2020,Tier 6
253,Anchovy,Male,Lazy,Bird,March 4th (Pisces),Pisces,"""chuurp""","Straw Shirt (AC)Earthy Knit Shirt (WW, CF, NL)",A brand-new hat shop,Remembering Stuff,Explorer,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Ragtime,"AF, AF+, AC, AFe+, WW, CF, NL, NH",116,5,https://www.animalcrossingportal.com/images/villagers/icons/anchovy.png,15th May 2020,Tier 5
194,Melba,Female,Normal,Koala,April 12th (Aries),Aries,"""toasty""",Green-Stripe Tank,A scene from a fairy tale,Yo-Yoing,Professor,"Mocha,No milk,No sugar",Basic,K.K. Ragtime,"WW, CF, NL, NH",34,19,https://www.animalcrossingportal.com/images/villagers/icons/melba.png,15th May 2020,Tier 2
13,Bob,Male,Lazy,Cat,January 1st (Capricorn),Capricorn,"""pthhhpth""",Blossom Tee,A floral atmosphere,Yo-Yoing,Detective,"Kilamanjaro,No milk,No sugar",Flashy,K.K. Ragtime,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",12,12,https://www.animalcrossingportal.com/images/villagers/icons/bob.png,15th May 2020,Tier 1
296,Flip,Male,Jock,Monkey,November 21st (Scorpio),Scorpio,"""rerack""",Happi Tee,An ancient bathhouse,Climbing Trees,Pro Golfer,"Kilimanjaro,Just a little bit of milk, One spoonful of sugar",Sporty,K.K. Rally,"NL, PC, NH",196,85,https://www.animalcrossingportal.com/images/villagers/icons/flip.png,15th May 2020,Tier 5
91,Tom,Male,Cranky,Cat,December 10th (Sagittarius),Sagittarius,"""me-YOWZA""",BB Tee,A fighter's gym,Doing Chin-Ups,Guitarist,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,K.K. Rally,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",376,122,https://www.animalcrossingportal.com/images/villagers/icons/tom.png,15th May 2020,Tier 6
172,Hamphrey,Male,Cranky,Hamster,February 25th (Pisces),Pisces,"""snort""",Beige Knit Shirt,A smoked-foods showcase,Eating Quickly,Fisherman,"Blue Mountain,Just a  little bit of milk,One spoonful of sugar",Historical,K.K. Rally,"NL, NH",212,101,https://www.animalcrossingportal.com/images/villagers/icons/hamphrey.png,15th May 2020,Tier 5
271,Buzz,Male,Cranky,Eagle,December 7th (Sagittarius),Sagittarius,"""captain""",Racer 6 Shirt(AF-NL)9-Ball Tee (NH),Unknown,Fishing,Chef,"Blue mountain,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Rally,"AF, AF+, AC, AFe+, NL, NH",150,39,https://www.animalcrossingportal.com/images/villagers/icons/buzz.png,15th May 2020,Tier 5
342,Peewee,Male,Cranky,Gorilla,September 11th (Virgo),Virgo,"""li'l dude""",Five-Ball Tee,Unknown,Karaoke,Pro Wrestler,"Blend, Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Rally,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",314,61,https://www.animalcrossingportal.com/images/villagers/icons/peewee.png,15th May 2020,Tier 6
132,Boots,Male,Jock,Alligator,August 7th (Leo),Leo,"""munchie""",Jester Shirt,Unknown,Writing Backwards,Sumo Wrestler,"Blue Mountain,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Rally,"AF, AF+, AC, AFe+, NL, PC, NH",143,32,https://www.animalcrossingportal.com/images/villagers/icons/boots.png,15th May 2020,Tier 5
286,Curly,Male,Jock,Pig,July 26th (Leo),Leo,"""nyoink""",Green-Bar Tee,A game-development studio,Clearing My Plate,Explorer,"Blue Mountain,A little bit of milk,One spoonful of sugar",Basic,K.K. Reggae,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",267,16,https://www.animalcrossingportal.com/images/villagers/icons/curly.png,15th May 2020,Tier 6
87,Hamlet,Male,Jock,Hamster,May 30th (Gemini),Gemini,"""hammie""",Big-Star Tee,A soccer arena,Limboing,Soccer Player,"Blend,  The regular amount of milk,   Two spoonfuls of sugar",Basic,K.K. Reggae,"NL, HHD, PC, NH",90,19,https://www.animalcrossingportal.com/images/villagers/icons/hamlet.png,15th May 2020,Tier 4
100,Shep,Male,Smug,Dog,November 24th (Sagittarius),Sagittarius,"""baa baa baa""",Denim Vest,Unknown,Speed Reading,Professor,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Historical,K.K. Reggae,"NL, NH",247,136,https://www.animalcrossingportal.com/images/villagers/icons/shep.png,15th May 2020,Tier 5
312,Ike,Male,Cranky,Bear,May 16th (Taurus),Taurus,"""roadie""","Jungle-camo shirt, Camo bomber-style jacket (NH)",Unknown,Doing Chin-Ups,Carpenter,"Mocha,No milk,No sugar",Rock 'N' Roll,K.K. Rock,"AFe+, NL, NH",276,25,https://www.animalcrossingportal.com/images/villagers/icons/ike.png,15th May 2020,Tier 6
57,Fuchsia,Female,Sisterly,Deer,September 19th (Virgo),Virgo,"""precious""",Dark Polka Tee(NL) Zigzag Dress(NH),A hangout for li'l rebels,Home Repair,Makeup Artist,"Blue Mountain,None at all,None at all",Rock 'N' Roll,K.K. Rock,"NL, HHD, PC, NH",77,7,https://www.animalcrossingportal.com/images/villagers/icons/fuchsia.png,15th May 2020,Tier 4
243,Tiffany,Female,Snooty,Rabbit,January 9th (Capricorn),Capricorn,"""bun bun""","Spider-web Tee (AFe+, WW, CF, NL)Chic Tuxedo Dress (NH)",A gorgeous celebrity home,Oversleeping,Ceo,"Kilimanjaro,A little bit of milk, One spoonful of sugar",Rock 'N' Roll,K.K. Rock,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",373,119,https://www.animalcrossingportal.com/images/villagers/icons/tiffany.png,15th May 2020,Tier 6
137,Camofrog,Male,Cranky,Frog,June 5th (Gemini),Gemini,"""ten-hut""",MVP Tee,A nature sanctuary,Playing Jacks,Pilot,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,K.K. Rock,"AF, AF+, AC, AFe+, WW, CF, NL, NH",152,41,https://www.animalcrossingportal.com/images/villagers/icons/camofrog.png,15th May 2020,Tier 5
46,Apollo,Male,Cranky,Eagle,July 4th (Cancer),Cancer,"""pah""",Zipper Shirt,A celebration of tallness.,Staying Up Late,Pilot,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Rock,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Dōbutsu no Mori",28,13,https://www.animalcrossingportal.com/images/villagers/icons/apollo.png,15th May 2020,Tier 2
108,Frita,Female,Sisterly,Sheep,July 16th (Cancer),Cancer,"""oh ewe""",Reggae Tee NLHot Dog Tee NH,A fast-food restaurant.,Chopping Vegetables,Chef,"Mocha,No milk,No sugar",Flashy,K.K. Rockabilly,"NL, HHD, NH",198,87,https://www.animalcrossingportal.com/images/villagers/icons/frita.png,15th May 2020,Tier 5
361,Rodney,Male,Smug,Hamster,November 10th (Scorpio),Scorpio,"""le ham""",Red-Bar Tee,A production studio,Hitting Snooze,Chef,"Blend, The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Rockabilly,"NL, NH",345,92,https://www.animalcrossingportal.com/images/villagers/icons/rodney.png,15th May 2020,Tier 6
237,Stu,Male,Lazy,Bull,April 20th (Taurus),Taurus,"""moo-dude""",seven-ball Shirt,Unknown,Hitting Snooze,Firefighter,"Mocha, a little bit of milk, 1 spoonful of sugar",Unknown,K.K. Rockabilly,"AF, AF+, AC, AFe+, NL, NH",360,107,https://www.animalcrossingportal.com/images/villagers/icons/stu.png,15th May 2020,Tier 6
306,Gruff,Male,Cranky,Goat,August 29th (Virgo),Virgo,"""bleh eh eh""",Big-Star Tee,A classic barbershop,Staying Up Late,Musician,"Blend,Just a little bit of milk,One spoonful of sugar",Historical,K.K. Rockabilly,"AF, AF+, AC, AFe+, NL, NH",273,22,https://www.animalcrossingportal.com/images/villagers/icons/gruff.png,15th May 2020,Tier 6
82,Lobo,Male,Cranky,Wolf,November 5th (Scorpio),Scorpio,"""ah-rooooo""",Checkered Tee,A nostalgic throwback,Fishing,Forest Ranger,"Blend,Lots of milk,Three spoonfuls of sugar",Historical,K.K. Safari,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",80,10,https://www.animalcrossingportal.com/images/villagers/icons/lobo.png,15th May 2020,Tier 4
246,Tucker,Male,Lazy,Elephant,September 7th (Virgo),Virgo,"""fuzzers""",Leopard Tee,A fresh start,Oversleeping,Archaeologist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Safari,"NL, HHD, PC, NH",378,124,https://www.animalcrossingportal.com/images/villagers/icons/tucker.png,15th May 2020,Tier 6
183,Leonardo,Male,Jock,Tiger,May 15th (Taurus),Taurus,"""flexin""",Three-Ball Tee,A sports arena,Playing Catch,Soccer Player,"Mocha, A little bit of milk,One spoonful of sugar",Sporty,K.K. Safari,"AFe+, NL, NH",278,27,https://www.animalcrossingportal.com/images/villagers/icons/leonardo.png,15th May 2020,Tier 6
231,Sly,Male,Jock,Alligator,November 15th (Scorpio),Scorpio,"""hoo-rah""",Jungle-Camo Tee,A jungle,Pretending To Sleep,Explorer,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Rock 'N' Roll,K.K. Safari,"NL, NH",353,100,https://www.animalcrossingportal.com/images/villagers/icons/sly.png,15th May 2020,Tier 6
142,Clay,Male,Lazy,Hamster,October 19th (Libra),Libra,"""thump""",Uncommon Shirt,A spooky haunted house,Writing Backwards,Archaeologist,"Mocha,None at all,None at all",Historical,K.K. Safari,"NL, NH",87,17,https://www.animalcrossingportal.com/images/villagers/icons/clay.png,15th May 2020,Tier 4
376,Tybalt,Male,Jock,Tiger,August 19th (Leo),Leo,"""grrRAH""","Two-Ball Shirt (AF, AC, WW, CF, NL)Simple Parka (NH)",Unknown,Bunting,Soccer Player,"Kilimanjaro,No milk,No sugar",Unknown,K.K. Salsa,"AF, AF+, AC, AFe+, NL, NH",248,137,https://www.animalcrossingportal.com/images/villagers/icons/tybalt.png,15th May 2020,Tier 5
49,Lily,Female,Normal,Frog,February 4th (Aquarius),Aquarius,"""toady""",Icy Shirt,A zen space with moist air,Calligraphy,Professor,"Mocha,Just a little bit of milk,One spoonful of sugar",Cute,K.K. Salsa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Nintendo Land",54,14,https://www.animalcrossingportal.com/images/villagers/icons/lily.png,15th May 2020,Tier 3
86,Peanut,Female,Peppy,Squirrel,June 8th (Gemini),Gemini,"""slacker""",Beatnik Tee,The land of the free,Hula Dancing,Model,"Mocha,  The regular amount of milk,  Two sugars",Cute,K.K. Salsa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, Nintendo Land, PC, NH",67,27,https://www.animalcrossingportal.com/images/villagers/icons/peanut.png,15th May 2020,Tier 3
147,Curlos,Male,Smug,Sheep,May 8th (Taurus),Taurus,"""shearly""",Blue Aloha Shirt (AFe+)Reggae Tee (NL)Zigzag Shirt(NH),A Toy Day celebration,Calculating Tips,Actor,"Kilamanjaro,Lots of milk,Three spoonfuls of sugar",Rock 'N' Roll,K.K. Samba,"AFe+, NL, NH",174,63,https://www.animalcrossingportal.com/images/villagers/icons/curlos.png,15th May 2020,Tier 5
315,Jitters,Male,Jock,Bird,February 2nd (Aquarius),Aquarius,"""bzzert""",Soccer Tee,A soccer arena,Playing Catch,Soccer Player,"Kilimanjaro, None at all, None at all",Sporty,K.K. Samba,"WW, CF, NL, HHD, PC, NH",223,112,https://www.animalcrossingportal.com/images/villagers/icons/jitters.png,15th May 2020,Tier 5
40,Ruby,Female,Peppy,Rabbit,December 25th (Capricorn),Capricorn,"""li'l ears""",Bunny Tee,A room for moon gazing,Doing Handstands,Photography,"Blue Mountain, Lots of milk,  Three spoonfuls of sugar",Modern,K.K. Ska,"WW, CF, NL, HHD, NH",60,20,https://www.animalcrossingportal.com/images/villagers/icons/ruby.png,15th May 2020,Tier 3
135,Bud,Male,Jock,Lion,August 8th (Leo),Leo,"""shredded""","Blue Aloha Shirt (AC)Flowery Shirt (WW, CF)Yellow Aloha Tee (NL, PC)Pineapple Aloha Shirt (NH)",A beach,Rapping,Singer,"Blue Mountain,No milk,No sugar",Sporty,K.K. Ska,"AF+, AC, AFe+, WW, CF, HHD, PC, NH",148,37,https://www.animalcrossingportal.com/images/villagers/icons/bud.png,15th May 2020,Tier 5
48,Bluebear,Female,Peppy,Cub,June 24th (Cancer),Cancer,"""peach""",Lemon Gingham Tee(NL) Aran-knit Sweater(NH),A supersweet bakery,Spoon Bending,Cartoonist,"Mocha,Lots of milk,Three spoonfuls of sugar",Cute,K.K. Ska,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",55,15,https://www.animalcrossingportal.com/images/villagers/icons/bluebear.png,15th May 2020,Tier 3
119,Annalise,Female,Snooty,Horse,December 2nd (Sagittarius),Sagittarius,"""nipper""","Red Aloha Shirt (GCN), Tropical Tee  (NL) ",A stained-glass tearoom,Brainteasers,Chef,"Blend,Lots of milk,Three spoonfuls of sugar",Official,K.K. Sonata,"AF+, AC, AFe+, NL, HHD, NH",124,13,https://www.animalcrossingportal.com/images/villagers/icons/annalise.png,15th May 2020,Tier 5
179,Julia,Female,Snooty,Ostrich,July 31st (Leo),Leo,"""dahling""","Red Aloha Shirt (AFe+)Purple Tie-Dye Tee(NL, PC)",Unknown,Computing,Ceo,"Blue Mountain,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Sonata,"AFe+, NL, PC, NH",95,24,https://www.animalcrossingportal.com/images/villagers/icons/julia.png,15th May 2020,Tier 4
124,Beardo,Male,Smug,Bear,September 27th (Libra),Libra,"""whiskers""",Detective Outfit,A cultivated garden,Memorizing Stuff,Professor,"Blue Mountain,Just a little bit of milk, One spoonful of sugar",Official,K.K. Sonata,"NL, NH",131,20,https://www.animalcrossingportal.com/images/villagers/icons/beardo.png,15th May 2020,Tier 5
83,Billy,Male,Jock,Goat,March 25th (Aries),Aries,"""dagnaabit""",Sharp Outfit,Unknown,Subsistence Living,Archaeologist,"Blue Mountain,No milk,No sugar",Unknown,K.K. Sonata,"AF, AF+, AC, AFe+, NL, NH",136,25,https://www.animalcrossingportal.com/images/villagers/icons/billy.png,15th May 2020,Tier 5
331,Miranda,Female,Snooty,Duck,April 23rd (Taurus),Taurus,"""quackulous""","Laced Shirt (AC, CF), Amethyst Tee (NL)",A stay-healthy home.,Subsistence Living,Model,"Blend,None at all,None at all",Ornate,K.K. Sonata,"AFe+, CF, NL, HHD, NH",290,38,https://www.animalcrossingportal.com/images/villagers/icons/miranda.png,15th May 2020,Tier 6
25,Muffy,Female,Sisterly,Sheep,February 14th (Aquarius),Aquarius,"""nightshade""",Natty Tee,An ornately decorated room,Writing About Pickles,Dermatologist,"Mocha,No milk,No sugar",Ornate,K.K. Sonata,"NL, HHD, PC, NH",59,19,https://www.animalcrossingportal.com/images/villagers/icons/muffy.png,15th May 2020,Tier 3
341,Peaches,Female,Normal,Horse,November 28th (Sagittarius),Sagittarius,"""neighbor""",Lite Polka Tee,An oasis of round furniture,Fishing,Florist,"Kilimanjaro,No milk,No sugar",Cute,K.K. Song,"AF, AF+, AC, AFe+, CF, NL, NH",311,58,https://www.animalcrossingportal.com/images/villagers/icons/peaches.png,15th May 2020,Tier 6
66,Wolfgang,Male,Cranky,Wolf,November 25th (Sagittarius),Sagittarius,"""snarrrl""",Gracie Tank(NL) Flight Jacket(NH),A monument to rock,Memorizing Stuff,Journalist,"Blend, Lots of milk,  Three spoonfuls of sugar",Modern,K.K. Song,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",46,6,https://www.animalcrossingportal.com/images/villagers/icons/wolfgang.png,15th May 2020,Tier 3
298,Freckles,Female,Peppy,Duck,February 19th (Pisces),Pisces,"""ducky""",Bright Tee,A fishy room under the sea,Staying Awake,Pharmacist,"Mocha, The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Song,"AF, AF+, AC, AFe+, WW, CF, NL, NH",303,50,https://www.animalcrossingportal.com/images/villagers/icons/freckles.png,15th May 2020,Tier 6
313,Jacob,Male,Lazy,Bird,August 24th (Virgo),Virgo,"""chuuuuurp""",green tie dye shirt,Unknown,Staying Up Late,Poet,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Song,"AFe+, NL, NH",220,109,https://www.animalcrossingportal.com/images/villagers/icons/jacob.png,15th May 2020,Tier 5
276,Chadder,Male,Smug,Mouse,December 15th (Sagittarius),Sagittarius,"""fromage""",Tuxedo,A cheesy place to nibble.,Cramming For Tests,Actor,"Kilamanjaro,Lots of milk,Three spoonfuls of sugar",Official,K.K. Soul,"NL, HHD, PC, NH",159,48,https://www.animalcrossingportal.com/images/villagers/icons/chadder.png,15th May 2020,Tier 5
196,Mint,Female,Snooty,Squirrel,May 2nd (Taurus),Taurus,"""ahhhhhh""",Gumdrop Tee,An ice-cream shop,Cramming For Tests,Architect,"Blend,No milk,No sugar",Official,K.K. Soul,"AF, AF+, AC, AFe+, WW, CF, NL, NH",288,37,https://www.animalcrossingportal.com/images/villagers/icons/mint.png,15th May 2020,Tier 6
148,Daisy,Female,Normal,Dog,November 16th (Scorpio),Scorpio,"""bow-WOW""",Kiddie Tee,A magnet for Santa,Making Budgets,Archaeologist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Soul,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",81,11,https://www.animalcrossingportal.com/images/villagers/icons/daisy.png,15th May 2020,Tier 4
363,Sandy,Female,Normal,Ostrich,October 21st (Libra),Libra,"""speedy""",Blue Scale Shirt (AFe+)Wide-Stripe Tee (NL)Wide-Stripe Tank (NH),Unknown,Making Puns,Artist,"Blend,No milk,No sugar",Unknown,K.K. Soul,"AF, AF+, AC, AFe+, NL, PC, NH",351,98,https://www.animalcrossingportal.com/images/villagers/icons/sandy.png,15th May 2020,Tier 6
174,Henry,Male,Smug,Frog,September 21st (Virgo),Virgo,"""snoozit""",Chain-Gang Tee,A contemplative train trip,Oversleeping,Writer,"Mocha, Just a little bit of milk, One spoonful of sugar",Basic,K.K. Soul,"NL, HHD, PC, NH",214,103,https://www.animalcrossingportal.com/images/villagers/icons/henry.png,15th May 2020,Tier 5
71,Bangle,Female,Peppy,Tiger,August 27th (Virgo),Virgo,"""growf""",Pop Bloom Tee(AFe+ - NL) Pineapple Dress(NH),An animal-print showcase,Tongue Twisters,President,"Mocha,A little bit of milk,One spoonful of sugar",Ornate,K.K. Soul,"AF, AF+, AC, AFe+, NL, NH",128,17,https://www.animalcrossingportal.com/images/villagers/icons/bangle.png,15th May 2020,Tier 5
69,Bea,Female,Normal,Dog,October 15th (Libra),Libra,"""bingo""",Go-go Shirt,Unknown,Waking Up Early,Dentist,"Kilimanjaro, A little bit of milk, 1 spoonful of sugar",Unknown,K.K. Soul,"AF, AF+, AC, AFe+, NL, NH",130,19,https://www.animalcrossingportal.com/images/villagers/icons/bea.png,15th May 2020,Tier 5
95,Vesta,Female,Normal,Sheep,April 16th (Aries),Aries,"""baaaffo""",Fall Plaid Tee,A place with a fireplace,Computing,Archaeologist,"Blue Mountain,A little bit of milk,One spoonful of sugar",Historical,K.K. Steppe,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",78,8,https://www.animalcrossingportal.com/images/villagers/icons/vesta.png,15th May 2020,Tier 4
339,Pate,Female,Peppy,Duck,February 23rd (Pisces),Pisces,"""quackle""",Winter Sweater,A stylish Internet café,Pretending To Sleep,Archaeologist,"Mocha, The regular amount of milk, Two spoonfuls of sugar",Modern,K.K. Steppe,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",308,55,https://www.animalcrossingportal.com/images/villagers/icons/pate.png,15th May 2020,Tier 6
373,T-Bone,Male,Cranky,Bull,May 20th (Taurus),Taurus,"""moocher""","Yellow Pinstripe (AC),  Hanten Shirt (NL)",A fire-filled hot spot,Pretending To Sleep,Police Officer,"Kilimanjaro,No milk,No sugar",Historical,K.K. Steppe,"AF, AF+, AC, AFe+, NL, NH",370,116,https://www.animalcrossingportal.com/images/villagers/icons/t-bone.png,15th May 2020,Tier 6
278,Chow,Male,Cranky,Bear,July 22nd (Cancer),Cancer,"""aiya""","Star Tee (AF, AC, WW. CF. NL)Gold-print Tee (NH)",A humble abode,Trivia,Chef,"Blend,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Steppe,"AF, AF+, AC, AFe+, WW, CF, NL, NH",163,52,https://www.animalcrossingportal.com/images/villagers/icons/chow.png,15th May 2020,Tier 5
247,Tutu,Female,Peppy,Bear,September 15th (Virgo),Virgo,"""twinkles""","Heart Tee (AF, AC. WW. CF, NL)Heart Sweater (NH)",A cool place to chill out,Typing,Teacher,"Blend, The regular amount of milk, Two spoonfuls of sugar",Cute,K.K. Steppe,"AF, AF+, AC, AFe+, CF, NL, HHD, NH",379,125,https://www.animalcrossingportal.com/images/villagers/icons/tutu.png,15th May 2020,Tier 6
7,Merengue,Female,Normal,Rhino,March 19th (Pisces),Pisces,"""shortcake""","Chef's Outfit (NL, NH)",A candy house,Doodling,Pastry Chef,"Blend,A little bit of milk,One spoonful of sugar",Official,K.K. Stroll,"NL, HHD, PC, NH",13,13,https://www.animalcrossingportal.com/images/villagers/icons/merengue.png,15th May 2020,Tier 1
270,Bubbles,Female,Peppy,Hippo,September 18th (Virgo),Virgo,"""hipster""",Crossing Shirt (GCN) Grape Tee (NL),An indoor beach,Limboing,Volleyball Player,"Mocha,No milk,No sugar",Sporty,K.K. Stroll,"AF, AF+, AC, AFe+, NL, NH",146,35,https://www.animalcrossingportal.com/images/villagers/icons/bubbles.png,15th May 2020,Tier 5
8,Fauna,Female,Normal,Deer,March 26th (Aries),Aries,"""dearie""",Shearling Coat,A home concert hall,Mental Math,Teacher,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Stroll,"NL, HHD, PC, NH",9,9,https://www.animalcrossingportal.com/images/villagers/icons/fauna.png,15th May 2020,Tier 1
16,Lolly,Female,Normal,Cat,March 27th (Aries),Aries,"""bonbon""",Natty Tee,A lecture hall,Peeling Apples,Chef,"Mocha,Just a little bit of milk,One spoonful of sugar",Basic,K.K. Stroll,"AFe+, CF, NL, NH",18,3,https://www.animalcrossingportal.com/images/villagers/icons/lolly.png,15th May 2020,Tier 2
123,Baabara,Female,Snooty,Sheep,March 28th (Aries),Aries,"""daahling""",Purple Tie-Dye Tee,A ballet studio.,Drawing Circles,Esthetician,"Mocha,No milk,No sugar",Ornate,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, NH",127,16,https://www.animalcrossingportal.com/images/villagers/icons/baabara.png,15th May 2020,Tier 5
260,Bettina,Female,Normal,Mouse,June 12th (Gemini),Gemini,"""eekers""",Chef's Outfit,A famous patisserie,Forgetting Stuff,Chef,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Official,K.K. Swing,"CF, NL, NH",255,4,https://www.animalcrossingportal.com/images/villagers/icons/bettina.png,15th May 2020,Tier 6
73,Mitzi,Female,Normal,Cat,September 25th (Libra),Libra,"""mew""","Patchwork Shirt (AC)Gumdrop Tee (WW,CF,NL,PC)","A café with round, zen items",Hula Dancing,Lawyer,"Mocha, Just a little bit of milk, One spoonful of sugar",Rustic,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",57,17,https://www.animalcrossingportal.com/images/villagers/icons/mitzi.png,15th May 2020,Tier 3
197,Monique,Female,Snooty,Cat,September 30th (Libra),Libra,"""pffffft""",Grape Tee,A room with stained glass,Juggling,Drummer,"Kilimanjaro,None at all,None at all",Ornate,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, NH",294,42,https://www.animalcrossingportal.com/images/villagers/icons/monique.png,15th May 2020,Tier 6
88,Purrl,Female,Snooty,Cat,May 29th (Gemini),Gemini,"""kitten""","Deep Blue Shirt (AC)Asian Shirt (WW, CF)Periwinkle Tee (NL)",A cozy kotatsu cottage,Writing Backwards,Movie Director,"Kilimanjaro,None at all,None at all",Iconic,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, NH",330,77,https://www.animalcrossingportal.com/images/villagers/icons/purrl.png,15th May 2020,Tier 6
212,Piper,Female,Peppy,Bird,April 18th (Aries),Aries,"""chickadee""","Striking Outfit (AFe+)Tropical Tee (NL, PC)",Unknown,Board Games,Translator,"Blend,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Synth,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",319,66,https://www.animalcrossingportal.com/images/villagers/icons/piper.png,15th May 2020,Tier 6
281,Cleo,Female,Snooty,Horse,February 9th (Aquarius),Aquarius,"""sugar""",Silk Bloom shirt,Unknown,Juggling,Dermatologist,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Synth,"AF, AF+, AC, AFe+, NL, NH",265,14,https://www.animalcrossingportal.com/images/villagers/icons/cleo.png,15th May 2020,Tier 6
